sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
26045,7,2,LIT,52,0,0,0,1,6,16,1,0,0,1,1,2
37651,9,1,HEALT,34,0,0,0,0,4,16,0,0,0,1,1,3
64926,14,1,ENGR,37,0,0,0,0,3,16,0,0,0,1,1,4
18588,4,4,,26,0,0,0,0,6,12,0,0,0,1,1,1
19573,3,4,,51,0,0,0,0,14,12,,1,0,1,1,1
28648,9,1,HEALT,44,0,0,0,0,1,16,0,0,0,1,1,3
27805,7,3,,50,0,0,0,0,7,14,0,0,0,1,1,2
16560,3,4,,37,0,0,0,0,5,12,0,0,0,1,1,1
40440,11,2,,59,0,1,0,0,13,12,0,0,0,1,1,3
24285,6,4,BUSAD,57,0,0,0,0,6,14,0,0,0,1,1,2
43402,12,2,SOC,36,0,0,0,0,5,16,0,0,0,1,1,3
,12,1,ARCHI,53,0,0,0,0,5,16,0,0,0,1,1,3
38421,11,2,,47,0,0,0,0,10,14,0,0,0,1,1,3
34683,10,1,,59,0,0,0,0,3,15,0,0,0,1,1,3
22134,4,4,,42,0,0,0,0,14,12,0,0,0,1,1,1
38107,11,1,ENGR,27,0,0,0,0,3,16,0,0,0,1,1,3
26572,6,3,,55,0,0,0,0,21,12,0,0,1,1,1,2
34744,11,1,BUSAD,40,0,0,0,0,10,14,1,0,0,1,1,3
37524,11,1,BUSAD,30,1,0,0,0,5,16,,1,0,1,1,3
90252,15,1,PHYSI,59,1,0,0,0,10,20,0,0,1,1,1,4
42591,11,1,ENGR,28,1,0,0,0,5,16,0,0,0,1,1,3
36214,11,2,COMPU,29,1,0,0,0,4,16,1,0,0,1,1,3
54004,12,1,HEALT,57,1,0,0,0,27,18,0,0,1,1,1,3
67274,14,1,ENGR,40,1,0,0,0,10,16,0,0,0,1,1,4
42984,12,1,SOC,45,1,1,0,0,10,16,0,0,0,1,1,3
34744,11,2,,39,1,1,0,0,14,10,0,0,0,1,1,3
20215,4,4,,37,1,0,0,1,13,12,1,0,0,1,1,1
61767,14,1,ENGR,37,1,0,0,0,11,18,0,0,1,1,1,4
50691,13,1,BUSAD,41,1,0,0,0,12,18,0,0,1,1,1,4
37257,11,2,,48,1,1,0,0,6,12,0,0,0,1,1,3
35087,10,3,,29,1,0,0,0,8,12,1,0,0,1,1,3
39719,11,2,BUSAD,48,0,0,0,0,24,14,0,0,1,2,1,3
22617,5,4,,47,0,0,0,0,8,12,1,0,0,2,1,2
34375,9,1,HEALT,48,0,0,0,0,13,16,0,0,0,2,1,3
23946,5,4,BUSAD,46,0,0,0,0,14,13,0,0,0,2,1,2
24529,6,3,,39,0,0,0,0,3,13,0,0,0,2,1,2
22617,5,4,EDUC,33,0,0,0,0,3,14,1,0,0,2,1,2
36085,11,2,,35,0,0,0,0,10,12,0,0,0,2,1,3
21307,4,4,,45,0,0,0,0,8,13,0,0,0,2,1,1
51612,13,1,LAW,29,0,0,0,0,4,18,0,0,0,2,1,4
54340,13,1,PSYCH,43,0,1,1,1,6,20,,1,0,2,1,4
23839,5,3,,43,0,1,0,0,18,12,0,0,0,2,1,2
24529,6,3,,26,0,0,0,0,4,13,0,0,0,2,1,2
21787,5,4,BUSAD,27,0,0,0,0,8,13,0,0,0,2,1,2
60378,13,2,,47,0,0,0,0,21,13,0,0,1,2,1,4
51612,13,2,BUSAD,44,0,0,0,0,23,16,0,0,0,2,1,4
23848,6,4,,27,0,1,0,0,5,12,0,0,0,2,1,2
18738,4,4,,32,0,0,0,0,6,13,0,0,0,2,1,1
76733,14,1,LANG,53,0,0,0,0,28,18,0,0,1,2,1,4
