"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"1",1,"male","White","Protestant","liberal","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,NA,NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Strong disagree","Strong disagree","Agree","Agree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","conservative","30 to 44","$60,000 or more","high school graduate","South","central city (top 100)",0,1,1
"2",2,"male","White","Catholic","moderate","Never married","ONCE OR TWICE YR","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","Too much","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","some confidence","Agree","Disagree","Agree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Republican","liberal","18 to 29","$35,000 to $59,000","high school graduate","South","central city (top 100)",0,0,NA
"3",3,"female","White","Protestant","fundamentalist","Divorced","ONCE A MONTH",NA,"Always wrong",NA,"Wrong sometimes","Yes","Favor","Oppose",NA,"Disapprove","About right","About right","Too little","Too little","Too little","Too much","About right","Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Somewhat Opposed","Very Much Opposd","Somewhat likely","Democrat","moderate","30 to 44","$20,000 to $34,999","some college","South","central city (top 100)",0,1,3
"4",4,"female","Other","Catholic","moderate","Widowed","ONCE A MONTH",NA,"Wrong sometimes","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too much","Too much","great confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Independent","conservative","30 to 44",NA,"less than h.s. diploma","South","central city (top 100)",0,0,NA
"5",5,"male","White","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","great confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","30 to 44","$60,000 or more","college graduate","South","central city (top 100)",0,1,3
"6",6,"male","White","Protestant","fundamentalist","Married","2-3 TIMES MONTH","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve","Too much","Too much","Too much","About right","Too little","About right","About right","About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Disagree","Agree","No","Somewhat Favor","Very Much Opposd","Somewhat likely","Independent","conservative","60 or older",NA,"college graduate","South","central city (top 100)",0,1,3
"7",7,"female","White","Protestant","moderate","Never married","ONCE A MONTH",NA,"Always wrong","Wrong sometimes",NA,"Yes","Favor","Oppose","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence","great confidence","great confidence","great confidence","some confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","moderate","30 to 44",NA,"some college","South","central city (top 100)",0,1,NA
"8",8,"female","White","Protestant","liberal","Divorced","ONCE OR TWICE YR",NA,"Always wrong",NA,NA,"Yes","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","great confidence","Hardly confidnce","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Republican","moderate","60 or older","$20,000 to $34,999","some college","South","central city (top 100)",0,1,1
"9",9,"male","White","Protestant","liberal","Divorced","SEVERAL TIMES YR",NA,"Always wrong","Always wrong","Always wrong","Yes","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Agree","No","Very Much Opposd","Not Favor/Opposd","Very likely","Republican","liberal","45 to 59",NA,"college graduate","South","central city (top 100)",0,1,1
"10",10,"male","White","Protestant","fundamentalist","Married","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"Too much","About right","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","some confidence","Disagree","Disagree","Strongly agree","Strongly agree","No","Somewhat Opposed","Very Much Opposd",NA,"Independent","moderate","60 or older",NA,"high school graduate","South","central city (top 100)",0,1,3
"11",11,"male","White","Jewish","liberal","Divorced","NEARLY EVERY WK",NA,"Almst alwys wrng","Always wrong",NA,NA,NA,"Favor","Should",NA,NA,"Too little",NA,"Too much","Too little",NA,"Too little","Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent",NA,"45 to 59",NA,"some college","South","central city (top 100)",0,0,1
"12",12,"female","White","Other",NA,"Divorced","ONCE OR TWICE YR","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Oppose",NA,"Should not",NA,"Too little","Too little","Too little","Too little","Too little","Too little","Too little","Too little","Too little","some confidence","some confidence","some confidence","Hardly confidnce","great confidence","some confidence","Strongly agree","Strong disagree","Disagree","Strong disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","liberal","45 to 59","$20,000 to $34,999","college graduate","South","central city (top 100)",0,0,NA
"13",13,"female","Other","Catholic","moderate","Married","SEVERAL TIMES YR","Not wrong at all","Not wrong at all","Not wrong at all","Almst alwys wrng","No","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Agree","Yes","Not Favor/Opposd","Very Much Favor","Somewhat likely","Independent","moderate","18 to 29","under $20,000","less than h.s. diploma","South","central city (top 100)",0,0,NA
"14",14,"female","White","Protestant","fundamentalist","Never married","SEVERAL TIMES WK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Oppose",NA,"Disapprove",NA,"Too little","About right","About right","Too little","Too much","Too much","Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Agree","Yes","Somewhat Opposed","Somewhat Opposed","Very likely","Republican","conservative","45 to 59","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,1,3
"15",15,"male","Other","Protestant","fundamentalist","Married","EVERY WEEK","Almst alwys wrng","Always wrong","Always wrong","Always wrong","No","Oppose","Favor",NA,"Approve","Too little","About right","Too little","Too little","About right",NA,"About right",NA,"Too little",NA,NA,NA,NA,NA,NA,"Disagree","Agree","Agree","Agree","Yes","Somewhat Favor","Not Favor/Opposd","Not very likely","Independent","liberal","30 to 44","under $20,000","college graduate","South","suburb of biggest 100 cities",0,1,3
"16",16,"male","Black","Other",NA,"Never married","NEARLY EVERY WK","Always wrong","Always wrong","Always wrong","Always wrong","No","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Disagree","Strongly agree","Yes","Somewhat Favor","Very Much Favor","Not very likely","Democrat","liberal","18 to 29","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,0,NA
"17",17,"male","White","None","liberal","Separated","NEVER",NA,"Always wrong","Always wrong","Almst alwys wrng","No",NA,"Favor",NA,"Disapprove","Too little","Too little","About right",NA,"Too little","About right",NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Somewhat Favor","Not Favor/Opposd","Somewhat likely","Independent",NA,"18 to 29","$20,000 to $34,999","some college","South","other urban county",0,0,1
"18",18,"female","White","Catholic","moderate","Never married","ONCE OR TWICE YR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too little","Too little","About right","Too little","Too little","Too little","Too much","About right","Too little","some confidence","Hardly confidnce","some confidence","Hardly confidnce","some confidence","some confidence","Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","conservative","45 to 59","$35,000 to $59,000","some college","South","other urban county",0,0,NA
